PSS10_avg,Dem_age
3.6,36
3.5,61
3,31
2.4,27
2.66666666666667,44
1.9,45
3.6,18
2.6,22
2.1,32
2.1,27
3.1,61
2.5,46
NA,23
2.8,22
1.7,57
3.6,28
2.9,40
2.2,36
1.4,67
3.5,21
2.7,59
2.9,36
3.4,20
1.8,59
3.7,18
2.9,18
3.6,42
NA,46
2.4,27
2.2,36
3.4,21
2.2,44
4.1,20
2.5,54
3,49
2.2,24
3.8,26
2.9,28
2.5,39
3.4,26
4,28
3.11111111111111,23
2.2,54
1,61
1.7,55
2.2,60
2.6,63
2.3,50
3.1,47
1,37
2.7,63
2.6,40
3.8,56
NA,61
1.2,24
2.8,26
3.7,59
3,58
3.2,28
2,33
2.7,43
NA,26
2.2,59
1.8,34
2.8,60
1.6,55
2.2,32
2.3,26
2.8,47
1.7,61
1.2,42
2.7,48
2.5,43
3.6,54
3.2,57
1.7,48
3.7,25
2.9,24
1.88888888888889,56
2.77777777777778,44
3.7,32
3.1,36
4.1,23
2.7,33
2.8,32
3.1,38
2.8,32
2.6,54
1.8,31
1.8,55
2.5,31
2,54
2.5,54
2.8,54
2.9,51
3.3,27
2.5,52
NA,54
NA,25
1.4,59
3.1,41
1.8,30
3,58
2.7,48
3,30
2.7,63
2.4,22
2.3,56
3.4,49
NA,40
2.2,57
2.6,41
1.3,24
1.6,57
2.5,34
1.7,63
3.2,32
2.6,25
2,57
3.4,76
2.4,35
1.5,54
2.5,20
2.3,88
3.5,66
3.1,63
2.5,71
2.7,53
2.4,53
2.4,68
3.2,40
2.2,59
2.9,59
NA,51
NA,35
1.7,37
2.2,64
2.9,66
2.9,31
1.7,36
2,52
2.1,58
3.5,60
2.5,52
1.7,36
1.7,61
3.3,36
2.2,52
NA,51
NA,18
1.2,58
2.8,46
2.4,18
3.1,27
1.1,34
NA,26
2.6,33
1.3,47
3.7,41
2.5,62
1.8,61
1.88888888888889,75
3.5,60
1.33333333333333,63
1.5,66
3.4,36
NA,45
2.5,63
NA,57
3,49
3.2,63
2.6,58
2.2,58
2.71428571428571,34
3,65
2.7,65
3.6,79
2.6,24
NA,41
1.4,64
2.4,19
1.5,60
2.3,66
1.5,58
3,36
1.5,54
NA,38
2.4,52
1.8,42
2.1,55
